Wildtyp,In der Natur auftretende genetische Normalform des Genotyps und Phänotyps
RNA-dependent RNA polymerase (RDRP),"RNA-abhängige RNA-Polymerase, die RNA als Matrize verwendet, um neue RNA-Stränge zu synthetisieren. Kommt z. B. bei RNA-Viren und in bestimmten RNA-Interferenz-Systemen (z. B. siRNA-Verstärkung bei Pflanzen) vor."
RNA-Interferenz (RNAi),"Post-transkriptioneller Gen-Silencing-Mechanismus, bei dem kurze doppelsträngige RNAs (siRNA, miRNA) nach Prozessierung durch Dicer in den RISC-Komplex (RNA-induced silencing complex ) geladen werden. RISC erkennt komplementäre mRNAs und bewirkt deren Degradierung (vollständige Komplementarität) oder Translationsrepression (partielle Komplementarität)."
RISC-Komplex (RNA-induced silencing complex),"Effektorkomplex der RNA-Interferenz. Kernkomponente ist ein Argonaute-Protein (AGO), das einen einzelsträngigen Guide-RNA-Strang (siRNA oder miRNA) bindet und komplementäre Ziel-mRNA erkennt. Bei vollständiger Komplementarität erfolgt endonukleolytische Spaltung (Slicer-Aktivität von AGO2); bei partieller Komplementarität wird die Translation reprimiert oder die mRNA destabilisiert."
Restriktionskarte,"eine lineare Abfolge von Stellen auf der DNA, die durch definierte Abstände voneinander getrennt sind bzw. die Darstellung einer linearen Abfolge der Stellen, an denen bestimmte Restriktionsenzyme ihre Zielstellen finden. Wird ein DNA-Molekül mit einem geeigneten Restriktionsenzym geschnitten, wird es in einzelne, negativ geladene Fragmente gespalten. Diese Fragmente lassen sich anhand ihrer Größe durch Gelelektrophorese trennen. Durch die Analyse der Restriktionsfragmente der DNA ist es möglich, eine Karte des ursprünglichen Moleküls zu erstellen."
regulatorische RNA,"Sammelbegriff für nicht-kodierende RNAs, die die Genexpression auf Transkriptions-, posttranskriptioneller oder translationaler Ebene regulieren, z. B. miRNA, siRNA oder lncRNA."
redundantes Gen,Der Phänotyp einer Mutante mit einem Defekt in solchen Genen ist nicht unterscheidbar vom Wildtyp. (Vorlesung 3)
Replikon,"Replikationseinheit der Erbsubstanz, die einen Startpunkt der Replikation enthält und zur autonomen Replikation befähigt ist. (Allgemeine Genetik)"
Retrotransposon,"Ein Transposon, das über eine RNA-Form mobilisiert; das DNA-Element wird in RNA transkribiert und anschließend in DNA revers transkribiert, die an einer neuen Stelle im Genom inseriert wird. Es besitzt keine infektiöse (virale) Form."
rDNA,Enthält Gene für die für rRNA (rRNA-Gene)
RBS,"Purinreiche Sequenz in prokaryotischen mRNAs (Konsensus: 5'-AGGAGG-3'), die ca. 5-10\,nt upstream des Startcodons liegt und durch komplementäre Basenpaarung mit der 16S-rRNA die Ribosomenbindung vermittelt."
Pseudogen,"Gene, die ihre Fähigkeit verloren haben, funktionsfähige Versionen der Polypeptide zu produzieren, für die sie ursprünglich kodierten. Die Gründe für ihre Inaktivität sind vielfältig: Die Defizite können bei der Transkription, der Translation oder bei beiden liegen. Sie können nicht funktionsfähig sein oder eine veränderte Funktion aufweisen, und die RNA-Produkte könnten regulatorische Funktionen erfüllen. (Lewin)"
prozessierte Pseudogene,"Pseudogene, die durch reverse Transkription und Integration von mRNA-Transkripten entstehen."
Prä-Initiationskomplex,"Multiproteinkomplex aus RNA-Polymerase II und allgemeinen Transkriptionsfaktoren (TFIID, TFIIA, TFIIB, TFIIF, TFIIE, TFIIH), der sich am Core-Promotor bildet und die Initiation der Transkription ermöglicht."
Promotor,"DNA-Region vor einem Gen, die die Bindung der RNA-Polymerase und der Transkriptionsfaktoren ermöglicht und den Startpunkt der Transkription festlegt."
prä-mRNA,"Unreifes, primäres RNA-Pol-II-Transkript im Zellkern vor der Prozessierung. Enthält Introns und Exons sowie nicht-translatierte Bereiche. Wird durch 5'-Capping, Spleißen (Entfernung der Introns) und 3'-Polyadenylierung zur reifen mRNA prozessiert, die anschließend ins Zytoplasma exportiert wird."
pre-miRNA,"Ca 60-70\,nt lange Haarnadel-RNA, die durch Drosha- Prozessierung aus der pri-miRNA entsteht. Wird durch Exportin-5 in das Zytoplasma transportiert und dort von Dicer zur reifen miRNA prozessiert."
pri-miRNA,"Primäres RNA-Pol-II-Transkript, das eine oder mehrere Haarnadelstrukturen (Hairpins) enthält. Wird im Zellkern durch den Microprocessor-Komplex (Drosha\,+\,DGCR8) zur ca 60-70\,nt langen pre-miRNA prozessiert."
Protein-Kinase,"Enzym, das Proteine durch Übertragung einer Phosphatgruppe (meist von ATP auf Serin-, Threonin- oder Tyrosinreste) phosphoryliert und dadurch deren Aktivität, Interaktionen oder Lokalisation reguliert."
Primärtranskript,"Das unmittelbare Produkt der Transkription eines Gens. Bei eukaryotischen proteincodierenden Genen entspricht es der prä-mRNA (hnRNA) und wird durch Prozessierungsschritte wie 5'-Capping, Spleißen und Polyadenylierung zur reifen mRNA verarbeitet."
post-transkriptionelles Gene Silencing (PTGS),"Regulation der Genexpression auf mRNA-Ebene nach der Transkription; umfasst zwei Hauptmechanismen: (1) gezielte Degradierung spezifischer mRNAs und (2) gezielte Inhibierung ihrer Translation. Wird u.\,a durch RNA-Interferenz (siRNA, miRNA) vermittelt. Bedeutend für endogene Genregulation sowie als Werkzeug der reversen Genetik zur Analyse von Genfunktionen (Knockdown)."
Polyadenylierungssignal,"Sequenz im 3'-UTR eukaryotischer prä-mRNA (meist AAUAAA), die die Spaltung der RNA und anschließende Polyadenylierung durch die Poly(A)-Polymerase auslöst."
Poly(A)-Polymerase,"Enzym, das nach der Transkriptionsspaltung am 3'-Ende eukaryotischer prä-mRNA eine Poly(A)-Sequenz synthetisiert, indem es Adenosinreste ohne DNA-Matrize anfügt."
Poly-A-Schwanz,"Posttranskriptionelle Modifikation am 3'-Ende eukaryotischer mRNA, bestehend aus einer Kette von Adenin-Nukleotiden, die Stabilität, Export aus dem Zellkern und Translationseffizienz erhöht."
polycistronisch,Kodierend für mehrere Polypedtide
Plastom,Die Erbinformationen aus den Chlorpolasten; das Chlorpolasten-Genom
Paralogie,"homologe Gene in einer Art, die durch Duplikation entstanden sind"
paternale Vererbung,Vererbung genetischer Information über den väterlichen Elternteil
Orthologie,"Gene in unterschiedlichen Arten, die von einer gemeinsamen Sequenz abstammen. Sie können die gleiche Funktion haben, müssen es aber nicht."
Open Reading Frame (ORF),"Leserahmen einer mRNA, der zwischen Startcodon (AUG) und Stopcodon liegt und die Information für die Proteinsequenz enthält."
Operon,"Genetische Funktionseinheit bei Bakterien, die aus einer Gruppe von Genen besteht, die über einen gemeinsamen Promotor reguliert werden und eine gemeinsame mRNA (Messenger) produzieren, die für mehrere Proteine kodiert. (Allgemeine Genetik)"
Nukleosom,"Grundlegende Verpackungseinheit des eukaryotischen Chromatins: ca. 147\,bp DNA sind 1{,}65-mal linkshändig um einen Histonoktamer (je zwei Kopien von H2A, H2B, H3 und H4) gewickelt"
Nukleolus,"Struktur im Zellkern, in der die rRNA-Synthese und der Zusammenbau der ribosomalen Untereinheiten stattfindet; bildet sich an den Nukleolus-Organisator-Regionen (NORs)."
Nukleotid,"Baustein der Nucleinsäuren, der aus einem Nucleosid und einer daran gebundenen Phosphatgruppe besteht"
Nukleosid,"Bausteine der Nukleinsäuren, die aus je einer Purin- oder Pyrimidinbase und einem Ribose- oder Desoxyribosezucker bestehen"
Nukleolusorganisatorregion,"Chromosomale DNA-Region, die rRNA-Gene enthält und als Organisationszentrum für den Nukleolus dient, wo die rRNA-Synthese und Ribosomenassemblierung stattfinden."
Nukleoporin,"Eine Proteinfamilie, aus der der NPC aufgabaut ist"
nucleares Genom,Die Erbinformationen aus dem Zellkern.
Nuclear Localization Signal,"Kurze, meist basische Aminosäuresequenz in einem Protein, die von Importinen erkannt wird und den Kernimport über NPCs vermittelt."
Nuclear Export Signal,"Kurze, meist leucinreiche Aminosäuresequenz, die von Exportinen (z. B. CRM1) erkannt wird und den Export eines Proteins aus dem Zellkern vermittelt."
nDNA,Nukleäre DNA; die im Zellkern lokalisierte Hauptform des eukaryotischen Genoms.
nicht-kodogener Strang,"DNA-Strang, der die gleiche Basensequenz wie die transkribierte mRNA (bis auf Uracil statt Thymin) besitzt und nicht als Vorlage für die RNA-Synthese dient; auch Plus-Strang oder codierender Strang genannt."
nicht-prozessierte Pseudogene,"Pseudogene, die durch unvollständige Duplikation oder Mutation der zweiten Kopie funktioneller Gene entstehen."
ncRNA,"Non-coding RNA; Sammelbegriff für alle RNAs, die nicht in Proteine übersetzt werden, aber strukturelle, katalytische oder regulatorische Funktionen besitzen."
N-terminus,Aminogruppe am Anfang eines Proteins
Mutante,Ein durch eine Mutation neu entstandenes Merkmal
Mutagenese,Entstehung oder gezielte Herbeiführung von Mutationen im Erbgut durch endogene (Replikationsfehler) oder exogene Einwirkung (Mutagene).
mtDNA,"Mitochondriale DNA; ringförmiges Genom der Mitochondrien, das für einen Teil der mitochondrialen Proteine sowie rRNAs und tRNAs kodiert."
mRNA,"Messenger-RNA; RNA, die die genetische Information von der DNA zu den Ribosomen überträgt und als Vorlage für die Proteinsynthese dient."
mRNP,Komplex aus reifer mRNA und gebundenen Proteinen. In dieser Form wird die mRNA aus dem Kern exportiert und im Zytoplasma transportiert und translatiert.
monocistronisch,nur für ein Polypeptid kodierend
Minisatellit,"Abschnitte der DNA im Genom bezeichnet, die aus tandemartigen Wiederholungen einer kurzen (ca. 12–100 Nukleotiden langer) DNA-Sequenz bestehen.; 10–60bp"
miRNA (microRNA),"MicroRNA; kurze regulatorische RNA (ca. 20–22 Nukleotide), die durch Basenpaarung mit Ziel-mRNAs deren Translation hemmt oder deren Abbau fördert."
miRNA-miRNA* Duplex,"Kurzlebiges, ca 21-23\,bp langes RNA-Duplex-Intermediat, das nach Dicer-Prozessierung der pre-miRNA entsteht. Der funktionelle Guide-Strang (miRNA) wird in RISC geladen; der komplementäre Passenger-Strang (miRNA*, auch miRNA-3p) wird meist degradiert. Die Strangauswahl erfolgt anhand der thermodynamischen Stabilität der Duplex-Enden: der Strang mit dem weniger stabilen 5'-Ende wird bevorzugt als Guide-Strang selektiert."
Mikrosatellit,kurze wiederholende Abschnitte; 1–6bp; multi‐allelische polymorphe Marker;
maternale Vererbung,Vererbung genetischer Information über den mütterlichen Elternteil
Matrizenstrang,"DNA-Strang, der als Vorlage (Template-Strang) für die Transkription dient und komplementär zur entstehenden mRNA ist; auch Antisense-, kodogener oder Template-Strang genannt."
Leader,"5'-nicht-translatierter Bereich (5'-UTR) einer mRNA, der vor dem Startcodon liegt und an der Regulation von Translation und Stabilität beteiligt ist."
Linker-DNA,"DNA-Abschnitt (10-80\,bp) zwischen zwei aufeinanderfolgenden Nukleosomen; frei zugänglich für Nukleasen (z.\,B MNase) und Transkriptionsfaktoren. Wird durch Histon H1 stabilisiert und beim vollständigen MNase-Verdau als erstes abgebaut."
LINE,"Eine wichtige Klasse von Retrotransposons, die etwa 21\% des menschlichen Genoms ausmachen. (Lewin)"
Kopplung,"Assoziation von Genen auf dem gleichen Chromosom, die zur gemeinsamen Vererbung der entsprechenden Merkmale führt"
Konsensus-Promotor,"Idealisierte DNA-Sequenz, die aus der Auswertung vieler Promotoren abgeleitet wird und die am häufigsten vorkommenden Basen an jeder Position darstellt."
Kernporenkomplex,"Großer Proteinkomplex in der Kernhülle, der den selektiven Transport von Molekülen zwischen Zellkern und Zytoplasma ermöglicht."
Karyotyp,Vollständiger Satz von Metaphase- chromosomen
Initiator-Element (INR),"Kernelement des RNA-Polymerase-II-Core-Promotors, das den Transkriptionsstart (+1) überlappt und die Initiation der Transkription unterstützt"
interner Promotor,"Promotor, dessen regulatorische Sequenzen innerhalb des transkribierten Gens liegen"
in vitro,"Experimentelle Bedingungen außerhalb eines lebenden Organismus, z. B. in einem Reagenzglas oder unter definierten Laborbedingungen."
in vivo,Vorgänge innerhalb eines lebenden Organismus unter physiologischen Bedingungen.
Intron,"Abschnitt eines gespaltenen Gens, der beider Reifung der RNA (Verspleißen) herausgeschnitten und demzufolge nicht in Protein übersetzt wird"
hRNP,"Komplex aus heterogener nukleärer RNA (prä-mRNA) und Proteinen. Bindet naszierende Transkripte und ist an Prozessierung, Stabilität und Export der RNA beteiligt."
Homologie,Ähnlichkeit biologischer Strukturen oder Sequenzen aufgrund gemeinsamer evolutionärer Abstammung
hnRNA,"RNA-Klasse heterogener Größe, die im Kern lokalisiert ist und zu der vor allem die Vorläufer der mRNAs gehören, die im Kern in unreifer Form als Primärtranskripte vorliegen"
Histon,"Kleine, basische Kernproteine (reich an Lysin und Arginin), die den Histonoktamer des Nukleosoms bilden."
Heterosom,"Geschlechtschromosom (Allosom), das sich strukturell oder im Replikationsverhalten vom Autosomensatz unterscheidet"
Helikase,"Enzym, das Nukleinsäure-Doppelstränge (DNA oder RNA) unter ATP-Verbrauch entwinden und trennen kann, z. B. während Replikation oder Transkription."
Heterochromatin,"hochverpackte, nicht zugängliche DNA in Metaphasechromosomen oder selektiv kondensierten Genomabschnitten; ist Transkriptions-inaktiv und wird spät repliziert"
Hairpin-Struktur (RNA),"Sekundärstruktur der RNA, bei der sich eine einzelsträngige RNA durch intramolekulare Basenpaarung zu einer Schleifenstruktur (Stem-Loop) faltet; häufig an der Regulation und Prozessierung beteiligt."
gen,unit of hereditary information
Genom,"Alle Erbinformationen (DNA-Sequenzen, Gene), inkl. der aus bspw. den Mitochondrien."
genetischer Marker,"Ein Gen oder eine DNA-Sequenz mit bekannter Position auf einem Chromosom, das bzw. die zur Identifizierung von Individuen oder Arten verwendet werden kann / Eine erkennbare DNA-Variation an einer bestimmten Stelle im Genom"
guanine nucleotude exchange factor,"Proteine oder Proteindomänen, die monomere GTPasen aktivieren, indem sie die Freisetzung von Guanosindiphosphat (GDP) anregen, um die Bindung von Guanosintriphosphat (GTP) zu ermöglichen"
Guide-RNA,"Einzelsträngige RNA, die einen Effektorkomplex durch Basenpaarung zur komplementären Zielsequenz dirigiert. Im RNAi-Kontext: der in RISC geladene miRNA- oder siRNA-Strang; im CRISPR-Kontext: die sgRNA, die Cas9 zur Ziel-DNA leitet."
Genfamilie,"Eine Gruppe von Genen, die infolge von Genduplikationen verwandte oder identische Produkte kodieren. Nach dem ersten Duplikationsvorgang sind die beiden Kopien identisch, divergieren jedoch anschließend, da sich in ihnen unterschiedliche Mutationen ansammeln. Weitere Duplikationen und Divergenzen erweitern die Familie. (Lewin)"
GTPase-activating protein,"Eine Familie von regulatorischen Proteinen, deren Mitglieder an aktivierte G-Proteine binden und deren GTPase-Aktivität stimulieren können, wodurch der Signalweg beendet wird"
G-Protein,"Eine Familie von Proteinen, die innerhalb von Zellen als molekulare Schalter fungieren und an der Weiterleitung von Signalen von verschiedenen Reizen außerhalb der Zelle in ihr Inneres beteiligt sind. Ihre Aktivität wird durch Faktoren reguliert, die ihre Fähigkeit steuern, an Guanosintriphosphat (GTP) zu binden und dieses zu Guanosindiphosphat (GDP) zu hydrolysieren. Wenn sie an GTP gebunden sind, befinden sie sich im ''Ein''-Zustand, und wenn sie an GDP gebunden sind, befinden sie sich im ''Aus''-Zustand. Sie gehören zur größeren Gruppe von Enzymen, die als GTPasen bezeichnet werden."
GC-Box,"GC-reiches regulatorisches Promotorelement, das Bindestellen für spezifische Transkriptionsfaktoren enthält"
GTPase,"Enzym, das GTP zu GDP und anorganischem Phosphat hydrolysiert und dadurch als molekularer Schalter in Signaltransduktion und Transportprozessen fungiert."
GTPase Ran,"Kleines G-Protein, das zwischen einer GTP- und einer GDP-gebundenen Form wechselt und dadurch als molekularer Schalter für den Kern-Zytoplasma-Transport dient. RanGTP ist im Zellkern angereichert, RanGDP im Zytoplasma, wodurch die Richtung des Transports durch NPCs festgelegt wird."
FG-Repeat,"kleine hydrophobe Segmente, die lange Abschnitte hydrophiler Aminosäuren unterbrechen. Diese flexiblen Abschnitte bilden entfaltete oder ungeordnete Segmente ohne feste Struktur.[6] Sie bilden ein Kettengeflecht, durch das kleinere Moleküle diffundieren können, das jedoch große hydrophile Makromoleküle ausschließt. Diese großen Moleküle können eine Kernpore nur passieren, wenn sie von einem Signalmolekül begleitet werden, das vorübergehend mit dem FG-Wiederholungssegment eines Nukleoporins interagiert"
extranukleäre Vererbung,"Vererbung genetischer Information außerhalb des Zellkerns, insbesondere über mitochondriale oder plastidäre DNA"
Exon,Für RNA und Protein kodierender Ab- schnitt eines gespaltenen Gens. Bleibt beim Verspleißen erhalten
Euchromatin,"dekondensierte DNA (die aber immer noch an Nucleosomen gebunden ist); aktiv, hat transkribierte Regionen"
essentielles Gen,Der ''Phänotyp'' einer Mutante mit einem Defekt in solchen Genen ist ''nicht lebensfähig'' (lethal). (Vorlesung 3)
Enhancer,"Distales regulatorisches DNA-Element, das die Transkriptionsrate eines Gens erhöhen kann, indem es mit Promotorregionen über DNA-Schleifen interagiert."
Endosymbionten-Hypothese,"Hypothese, dass Eukaryoten aus einer Endosymbiose prokaryotischer Vorläuferorganismen hervorgegangen sind. Demnach sind chemo- und phototrophe Bakterien von Archaeen aufgenommen worden, in denen sie sich zu Zellorganellen ihrer Wirtszellen entwickelt haben, darunter Mitochondrien und Plastiden."
Endonuklease,"Enzym, das Phosphodiesterbindungen innerhalb eines Nukleinsäurestrangs spaltet (im Gegensatz zur Exonuklease, die vom Ende her abbaut)"
Elongationsfaktor (eEF),"Proteinfaktoren der eukaryotischen Translation, die den Ablauf der Elongation im Ribosom steuern, insbesondere die Anlieferung von Aminoacyl-tRNAs, die Peptidbindung und die Translokation des Ribosoms entlang der mRNA."
Deadenylierung,"Enzymatischer Prozess der schrittweisen Verkürzung des Poly(A)-Schwanzes eukaryotischer mRNA, der häufig den Beginn des mRNA-Abbaus einleitet."
DNA-abhängige RNA-Polymerase,"Enzym, das RNA anhand einer DNA-Matrize synthetisiert. In Eukaryoten existieren drei Haupttypen (RNA-Polymerase I, II und III), die jeweils unterschiedliche Klassen von Genen transkribieren."
Cytogenetik,todo
Cyclin,todo
Cytokinese,Trennung der Zelle in zwei Tochterzellen nach der Mitose
CPSF (Cleavage and Polyadenylation Specificity Factor),"Proteinkomplex, der die 3'-Endprozessierung eukaryotischer prä-mRNA erkennt und die Spaltung am Polyadenylierungssignal sowie die anschließende Polyadenylierung initiiert."
cpDNA,"Chloroplasten-DNA; ringförmiges Genom der Chloroplasten, das für Gene der Photosynthese sowie eigene rRNAs und tRNAs kodiert."
Core-Promotor,"Minimaler DNA-Abschnitt eines Promotors, der für die Initiation der Transkription erforderlich ist"
Core-Nukleosom,"Minimale Nukleosomeneinheit nach Verdau der Linker-DNA: 147\,bp DNA, die 1{,}65-mal linkshändig um den Core-Oktamer gewickelt sind. Enthält kein Histon H1; entspricht dem nucleosome core particle (NCP) in der Kristallstruktur."
Core-Oktamer,"Proteinkern des Nukleosoms aus acht Core-Histonen: ein (H3\(_2\)-H4\(_2\))-Tetramer als zentrale Grundstruktur, flankiert von zwei H2A-H2B-Dimeren. Hoch symmetrisch aufgebaut mit pseudo-dyadischer Symmetrieachse."
basale Transkription,"Minimale Transkriptionsaktivität eines Gens, die allein durch den Core-Promotor, die allgemeinen Transkriptionsfaktoren und die RNA-Polymerase erreicht wird, ohne zusätzliche regulatorische Aktivatoren oder Repressoren."
Autosom,"Nicht-geschlechtsbestimmendes Chromosom; beim Menschen 22 homologe Paare, die in beiden Geschlechtern identisch vorliegen."
Aminoacyl-tRNA,"Mit einer spezifischen Aminosäure beladene tRNA, die durch Aminoacyl-tRNA-Synthetasen erzeugt wird und die Aminosäure während der Translation zum Ribosom transportiert."
Antisense-Technologie,konstitutive oder induzierte Expression von antisense RNA
Alu-Repeats,"Familie kurzer, etwa 300 bp langer repetitiver DNA-Sequenzen (SINEs), die im menschlichen Genom in sehr hoher Kopienzahl vorkommen."
Allel,"variant form of a gene / Eine der verschiedenen Formen, die ein bestimmter Locus annehmen kann"
zentrales Dogma,"Wenn (sequenzielle) Information einmal in ein Protein übersetzt wurde, kann sie dort nicht wieder herausgelangen"
''ab initio''-Genvorhersage,"Computergestützte Vorhersage von Genen allein anhand der genomischen DNA-Sequenz und charakteristischer Sequenzmerkmale wie Start- und Stopcodons, Spleißsignalen, offenen Leserahmen oder Codon-Nutzung, ohne experimentelle Vergleichsdaten zu verwenden"
10-nm-Faser (Nukleosomenfilament),Erste Verdichtungsstufe des Chromatins; entspricht der Perlenketten-Struktur (''beads-on-a-string''): Nukleosomen sind durch Linker-DNA verbunden
Chromosom,"Fädige Chromatinstruktur im Zellkern, Träger des genetischen Materials (DNA). Vor einer Zellteilung besteht ein C. aus 2 parallelen Chromatiden (2-Chromatid-Chromo- som), die am Centromer miteinander verbunden sind."
Codon,"Basentriplett in der mRNA, das für eine bestimmte Aminosäure oder ein Stop-Signal während der Translation codiert."
Chromosomen-Abberation,"Strukturelle oder numerische Veränderung von Chromosomen gegenüber dem Normalzustand, z. B. Deletion, Duplikation, Inversion, Translokation oder Aneuploidie."
Chondrom,Die Erbinformationen aus den Mitochondrien; das Mitochondrien-Genom
Chiasma,Die cytologisch sichtbare Folge von Crossover- Ereignissen.
Chaperone,"ATPase, die die korrekte Faltung neu‐synthetisierter oder fehlgefalteter Proteine erleichtert"
Centromer,Spindelfaseransatzstelle (Spindel) der Chromosomen.
Carboxyterminale Domäne (CTD),"Wiederholte Heptapeptid-Sequenz am C-Terminus der RNA-Polymerase II, die durch Phosphorylierung die Rekrutierung von Prozessierungsfaktoren und den Übergang von Initiation zu Elongation steuert."
Cap-Struktur,"Modifizierte 5'-Endstruktur eukaryotischer mRNA (7-Methylguanosin-Kappe), die die mRNA vor Abbau schützt, den Export aus dem Zellkern ermöglicht und die Translation initiiert."
