Wie lautet die Markoffsche Ungleichung?,"Existiert \(E[|X|^k]\) für ein \(k\in\mathbb{N}\), so existiert auch \(E[X]\), und für alle \(h>0\) gilt \(P(|X-E[X]|\ge h) \le \dfrac{E[|X-E[X]|^k]}{h^k}\)."
"Wie hängt es von der Größenordnung der betrachteten Abweichung \(\epsilon\) ab, ob das Gesetz der großen Zahlen oder der Satz von de Moivre-Laplace/Zentrale Grenzwertsatz das Verhalten von \(P(|\tfrac1n S_n - E[X_1]|\ge\epsilon)\) beschreibt?","Ist \(\epsilon\) von konstanter Ordnung (unabhängig von \(n\)), beschreibt das Gesetz der großen Zahlen das Verhalten (die Wahrscheinlichkeit geht gegen 0, ohne quantitative Aussage über die Geschwindigkeit). Ist \(\epsilon\) dagegen von der Ordnung \(\tfrac{1}{\sqrt n}\) (skaliert mit der Stichprobengröße), liefert der Satz von de Moivre-Laplace/Zentrale Grenzwertsatz eine quantitative Näherung mit einem nicht-trivialen Grenzwert."
"Klausur-Faustregel: Woran erkennt man, ob eine Aufgabe das Gesetz der großen Zahlen oder den Zentralen Grenzwertsatz (Satz von de Moivre-Laplace) erfordert?","Wird nur gefragt, ob ein Grenzwert existiert bzw.\ etwas konvergiert, reicht das Gesetz der großen Zahlen. Wird dagegen gefragt, wie groß \(n\) sein muss, wie genau eine Schätzung ist, oder soll ein Konfidenzintervall angegeben werden, ist der Zentrale Grenzwertsatz gefragt (mit der \(\Phi\)-Tabelle)."
Wofür wird der Zentrale Grenzwertsatz (bzw.\ der Satz von de Moivre-Laplace) in der Praxis typischerweise verwendet?,"Zum Bestimmen benötigter Stichprobengrößen, zur Angabe von Konfidenzintervallen, zur Fehlerabschätzung bei Simulationen/Monte-Carlo-Methoden sowie in der Qualitätskontrolle bzw.\ bei Fehlerraten."
Wie lautet der Zentrale Grenzwertsatz (Verallgemeinerung des Satzes von de Moivre-Laplace)?,"Seien \(X_1,X_2,\dots\) unabhängig und identisch verteilt mit \(\sigma^2=\operatorname{Var}(X_i)\in(0,\infty)\) und \(\mu=E[X_i]\) für alle \(i\), sowie \(S_n=\sum_{i=1}^n X_i\). Dann gilt für alle \(-\infty<a<b<\infty\): \(\displaystyle\lim_{n\to\infty} P\!\left(a<\frac{S_n-n\mu}{\sqrt{n\sigma^2}}\le b\right) = \Phi(b)-\Phi(a)\)."
"Wie spezialisiert sich der Zentrale Grenzwertsatz auf unabhängige Bernoulli-Variablen, und wie heißt dieser Spezialfall?",Für unabhängige Bernoulli-Variablen \(X_i\) mit \(\mu=E[X_i]=p\) und \(\sigma^2=\operatorname{Var}(X_i)=pq\) (\(q=1-p\)) ergibt sich \(\lim_{n\to\infty} P\!\left(a<\frac{S_n-np}{\sqrt{npq}}\le b\right)=\Phi(b)-\Phi(a)\) -- das ist genau der Satz von de Moivre-Laplace.
"Welche Voraussetzungen des Zentralen Grenzwertsatzes können abgeschwächt werden, und welche sind notwendig?","Die Voraussetzung identischer Verteilung kann abgeschwächt werden (z.B.\ zur Lindeberg-Bedingung, die verhindert, dass eine einzelne Variable die Summe dominiert). Die Unabhängigkeitsvoraussetzung kann ebenfalls abgeschwächt werden (Zentraler Grenzwertsatz von Lindeberg-Feller, für bestimmte Arten schwacher Abhängigkeit). Die Voraussetzungen \(\sigma^2>0\) und \(\sigma^2<\infty\) sind dagegen notwendig."
Wie lautet der Poissonsche Grenzwertsatz (Poisson-Approximation der Binomialverteilung)?,"Gilt \(np_n\to\alpha>0\) für \(n\to\infty\), so gilt für jedes feste \(k\in\mathbb{N}_0\): \(B_{n,p_n}(k) \to P_\alpha(k) = \dfrac{\alpha^k}{k!}e^{-\alpha}\)."
"Wie gut ist die Poisson-Approximation quantitativ, wenn \(S_n\) binomialverteilt mit Parametern \(n,p_n\) und \(Z_{np_n}\) Poisson-verteilt mit Parameter \(np_n\) ist?","Es gilt \(\sup_{C\subseteq\mathbb{N}_0} |P(S_n\in C) - P(Z_{np_n}\in C)| \le 2np_n^2\). Gilt zusätzlich \(np_n\to\alpha\), so ist diese Schranke für jede Konstante \(K>2\) und \(n\) groß genug durch \(K\alpha p_n\) beschränkt, was für \(n\to\infty\) gegen 0 geht."
Unter welchen Bedingungen ist die Poisson-Approximation der Binomialverteilung gut?,"Wenn \(n\) groß im Vergleich zu \(k\) ist (\(n\gg k\)) und \(p\) klein ist, genauer \(n \gg \alpha:=np\). Insbesondere muss die Erfolgswahrscheinlichkeit klein sein -- die Approximation eignet sich also für seltene Ereignisse: \(P(S_n=k)\approx P_\alpha(k)\) mit \(\alpha:=np\)."
"Welches allgemeine Modellierungsprinzip rechtfertigt die Poisson-Verteilung als Modell für Zählungen seltener, über viele Einheiten (Raum oder Zeit) verteilter Ereignisse?","Verteilt man eine Gesamtheit potenzieller Ereignisse unabhängig auf sehr viele kleine Einheiten (z.B.\ Rasterquadrate oder kurze Zeitintervalle), sodass jede einzelne Einheit nur mit kleiner Wahrscheinlichkeit ein Ereignis enthält, so ist die Gesamtzahl der Ereignisse binomialverteilt mit großem \(n\) und kleinem \(p\) -- und damit nach dem Poissonschen Grenzwertsatz näherungsweise Poisson-verteilt mit Parameter \(\alpha=np\)."
"Wie kann man die Poisson-Approximation anwenden, wenn die Erfolgswahrscheinlichkeit \(p\) nahe bei 1 liegt (statt nahe bei 0)?","Man vertauscht die Rollen von Erfolg und Misserfolg und zählt stattdessen die Misserfolge: \(\tilde S_n := n-S_n\) ist \(B_{n,q}\)-verteilt mit \(q=1-p\) klein, also gut durch Poisson mit Parameter \(\tilde\alpha=nq\) approximierbar. Zurückübersetzt ergibt sich \(P(S_n=k) = P(\tilde S_n = n-k) \approx P_{nq}(n-k) = \dfrac{(nq)^{n-k}}{(n-k)!}e^{-nq}\)."
Welchen praktischen Rechentipp sollte man bei Approximationen der Binomialverteilung (Normal- oder Poisson-Approximation) beachten?,"Man sollte Ausdrücke mit den Parametern \(n\) und \(p\) möglichst lange symbolisch stehen lassen und diese erst so spät wie möglich durch ihre konkreten Zahlenwerte ersetzen, statt frühzeitig auszumultiplizieren -- das vereinfacht die Rechnung und vermeidet Fehler."
