#separator:tab
#html:true
Mit welchen Geräten bzw. Verfahren kann man Metabolite trennen und bestimmen?	<ul><li>Gas-Chromatografie-Massenspektrometrie<br></li><li>Flüssigchromatografie-Massenspektrometrie<br></li><li>Hochleistungsflüssigkeits-Chromatographie<br></li></ul>
Was unterscheidet Histon-ähnliche Proteine von tatsächlichen Histonen?	Histon-ähnliche Proteine wie HU und HNS sind Prokaryoten-spezifische Proteine, die DNA binden und stabilisieren, während echte Histone in Eukaryoten eine zentrale Rolle bei der DNA-Verpackung und -Regulation spielen.<br><br>Weiterhin unterscheiden sich Struktur, Funktion, und die Modifikationsmechanismen dieser Proteine.
"<img src=""GF_HU.png""><br>Welches NAP ist hier dargestellt?"	HU (heat unstable protein)
Wie sieht das NAP HU schematisch an der DNA dargstellt aus?&nbsp;	"<img src=""paste-deb8e0c783e5ab3f064625317cb5e4818f569a36.jpg"">"
Zwischen welchen zwei NAPs liegt ein Antagonismus vor?	HU und H-NS
Welche Domänen gibt es im bakteriellen Genom?&nbsp;	<ul><li>Genom</li><li>Macrodomäne<br></li><li>Microdomäne<br></li><li>Chromosomal Interaction Domain (CID)<br></li><li>High-Density Chromosomal region (HDR)<br></li></ul>
Wie viele Genome gibt es in einem typischen Prokaryoten?	Ein Bakterium wäre ein typischer Prokaryot. Bakterien haben typischerweise ein Chromosom als Hauptgenom und das Plasmidgenom.
Welche Arten von&nbsp;Gentransfer gibt es in Prokaryoten?	<ul><li>Konjugation<br></li><li>Transformation<br></li><li>Transduktion<br></li></ul>
Was ist&nbsp;Konjugation?	Vorübergehende Verschmelzung von Einzellern zum Zwecke des sexuellen Austauschs von genetischem Material
Was ist die Definition von Transformation? 	<b>Vererbbare</b> Veränderung in einer Zelle oder einem Organismus, die durch exogene DNA hervorgerufen wird
Was ist&nbsp;Transduktion?	Durch Viren vermittelter Gentransfer von einem Bakterium auf ein anderes
Welcher Gentransfer bei Prokaryoten ist vererbbar?	Transformation
Was ist&nbsp;Horizontaler Gentransfer?	Horizontaler Gentransfer geschieht zwischen nicht direkt verwandten Organismen und ermöglicht eine schnelle genetische Anpassung und Vielfalt
Was ist&nbsp;vertikaler Gentransfer?	Vertikaler Gentransfer erfolgt von Eltern zu Nachkommen und ist ein grundlegender Mechanismus der Vererbung in der Evolution
Wofür ist der&nbsp;F-Faktor relevant?	Gentransfer, er verleiht Bakterien die Fähigkeit zur Konjugation und ermöglicht so einen gerichteten Gentransfer
Ori	origin of replication
Was ist die Definition von OriT? 	origin of conjugal transfer
Was ist die Definition von tra(-Region)? 	transfer functions / Region in der für die transfer functions codiert wird
Wie entstehen bakterielle HFR-Stämme?	Indem ein F-Plasmid (Fertility-Plasmid) durch homologe Rekombination in das Chromosom eines Bakteriums integriert wird.
Worin unterscheiden sich unterschiedliche HFR-Stämme?	In der Position der Integration des F-Plasmids und den Genen des integrierten F-Plasmids und somit den daraus resultierenden Eigenschaften.
Wofür werden HFR-Stämme verwendet?	In der Mikrobiologie und Genetik, um Gene zu kartieren und die Geninteraktionen innerhalb von Bakterien zu untersuchen.
Wodurch zeichnen sich bakterielle HFR-Stämme aus?	<ol><li>HFR =&gt; sie haben eine hohe Rekombinationsrate, denn DNA wird effizient von einem Bakterium in ein anderes übertragen (Übertragung vom F-Plasmid und banachbarten Chromosomenregionen)</li><li>Integriertes Plasmid =&gt; das F-Plasmid&nbsp;(Fertility-Plasmid) ist in das Chromosom eines Bakteriums integriert<br></li></ol>
Definition Replikon	DNA- oder RNA-Abschnitt, der ausgehend von einem Replikationsursprung an einem Stück repliziert wird.
Unterschied zwischen MukBEF und SMC	MukBEF ist ein Proteinkomplex und SMC-Proteine sind eine Familie von Proteinen. MukBEF ist spezifisch für bestimmte Bakterien, wie z.B. Escherichia coli, während SMC-Proteine sind in vielen Organismen vorhanden sind.
"Was ist ""Natüliche Kompetenz"" im Kontext von Bakterien?"	die Fähigkeit, DNA aus ihrer Umgebung aufzunehmen, ohne dass spezielle Behandlungen erforderlich sind (auf 'natürliche' Art)
"Was ist ""Induzierte Kompetenz"" im Kontext von Bakterien?"	Fähigkeit, DNA nach einer speziellen Behandlung (z.B. chemischen oder physikalischen Methoden) aufzunehmen
Wie nennt man horizontalen Gentransfer durch Viren? (Kontext Bakterien)	Transduktion
Durch welche Art von Viren kann Transduktion stattfinden?	Bakteriophagen
In welchen Schritten werden Phagen montiert (zusammengebaut)?	<ol><li>Montage des Kopfes und DNA-Verpackung<br></li><li>Montage des Schwanzes</li><li>Synthese und Montage der Schwanzfasern</li></ol>
Beschreiben sie die Isolierung von Plasmid-DNA	• DNA und Vektor-DNA isolieren<br>• DNAs mit Restriktionsenzymen schneiden<br>• Isolierte DNA und Vektor-DNA kombinieren und ligieren<br>• Transformation in Bakterien<br>• Bakterien kultivieren
Nennen Sie die drei wichtigsten Komponenten der Klonierung und ihre Funktion.	• Vektor – überträgt DNA<br>• SDS-PAGE – Darstellung<br>• Grün fluoreszierendes Protein (GFP) – Marker
Wofür steht SDS-Page? Was wird damit gemacht?	SDS-PAGE steht für Sodium Dodecylsulfat-Polyacrylamidgelelektrophorese und ist eine Methode um Proteine nach Masse zu trennen. Es wird bei der 2D Gelelektrophorese als zweite Dimension verwendet.
Wie kann man prokaryotische Genome kartieren?	m. H. von unterbrochener Konjugation, via&nbsp;Transformation und durch&nbsp;Restriktionsendonukleasen<br>
Wie funktioniert bakterielle Genomkartierung durch unterbrochene Transduktion?	Es werden verschiedene Hfr-Stämme als DNA-Donoren während der Konjugation von den DNA-Rezipienten mittels mechanischer Scherkräfte in einem Standmixer (Waring blender) getrennt. Die Dauer der Konjugationen werden gemessen und man untersucht, welche Gene zu welcher Zeit transferiert wurden. Deswegen sind diese Genkarten in Minuten skaliert
Wie funktioniert bakterielle Genkartierung via&nbsp;Transformation?	Indem man Plasmide als Vektoren nutzt und genomische DNA-Bibliotheken erstellt.
Wie unterscheiden sich prokaryotische und eukaryotische Replikation?	<ol><li>Eukaryotische Replikons sind klein und replizieren langsamer als prokaryotische Replikons<br></li><li>Prokaryotische Chromosomen bestehen nur aus einem Replikon<br></li></ol>
Was ist die Definition von OriV? 	Der Replikationsursprung im Plasmid
OriC	Origin of Chromosomal Replication (OriC) ist der Replikationsursprung im bakteriellen Chromosom
Skizzire die&nbsp;Replikation von linearen prokaryotischen Chromosomen	"<img src=""linear1.jpg"">"
"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".7052"" data-top="".3102"" data-width="".2873"" data-height="".0688"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".5347"" data-top="".0445"" data-width="".1578"" data-height="".0594"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".2569"" data-top="".1102"" data-width="".1752"" data-height="".0594"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".1464"" data-top="".2352"" data-width="".1941"" data-height="".0594"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".1512"" data-top="".3758"" data-width="".1357"" data-height="".0531"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".1527"" data-top="".5164"" data-width="".1042"" data-height="".0562"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""7"" data-shape=""rect"" data-left="".0437"" data-top="".6009"" data-width="".2415"" data-height="".0934"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""8"" data-shape=""rect"" data-left="".1259"" data-top="".7539"" data-width="".1563"" data-height="".0656"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""9"" data-shape=""rect"" data-left="".0186"" data-top="".863"" data-width="".3171"" data-height="".0844"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""0"" data-shape=""text"" data-left="".0352"" data-top="".0000"" data-text=""Der&#x20;vegetative&#x20;bakterielle&#x20;Zellzyklus"" data-scale="".3865"" data-font-size="".1153"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""vegcellcycle.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".7052"" data-top="".3102"" data-width="".2873"" data-height="".0688"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".5347"" data-top="".0445"" data-width="".1578"" data-height="".0594"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".2569"" data-top="".1102"" data-width="".1752"" data-height="".0594"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".1464"" data-top="".2352"" data-width="".1941"" data-height="".0594"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".1512"" data-top="".3758"" data-width="".1357"" data-height="".0531"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".1527"" data-top="".5164"" data-width="".1042"" data-height="".0562"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""7"" data-shape=""rect"" data-left="".0437"" data-top="".6009"" data-width="".2415"" data-height="".0934"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""8"" data-shape=""rect"" data-left="".1259"" data-top="".7539"" data-width="".1563"" data-height="".0656"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""9"" data-shape=""rect"" data-left="".0186"" data-top="".863"" data-width="".3171"" data-height="".0844"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""0"" data-shape=""text"" data-left="".0352"" data-top="".0000"" data-text=""Der&#x20;vegetative&#x20;bakterielle&#x20;Zellzyklus"" data-scale="".3865"" data-font-size="".1153"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""vegcellcycle.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".7052"" data-top="".3102"" data-width="".2873"" data-height="".0688"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".5347"" data-top="".0445"" data-width="".1578"" data-height="".0594"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".2569"" data-top="".1102"" data-width="".1752"" data-height="".0594"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".1464"" data-top="".2352"" data-width="".1941"" data-height="".0594"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""5"" data-shape=""rect"" data-left="".1512"" data-top="".3758"" data-width="".1357"" data-height="".0531"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".1527"" data-top="".5164"" data-width="".1042"" data-height="".0562"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""7"" data-shape=""rect"" data-left="".0437"" data-top="".6009"" data-width="".2415"" data-height="".0934"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""8"" data-shape=""rect"" data-left="".1259"" data-top="".7539"" data-width="".1563"" data-height="".0656"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""9"" data-shape=""rect"" data-left="".0186"" data-top="".863"" data-width="".3171"" data-height="".0844"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""0"" data-shape=""text"" data-left="".0352"" data-top="".0000"" data-text=""Der&#x20;vegetative&#x20;bakterielle&#x20;Zellzyklus"" data-scale="".3865"" data-font-size="".1153"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""vegcellcycle.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".7052"" data-top="".3102"" data-width="".2873"" data-height="".0688"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".5347"" data-top="".0445"" data-width="".1578"" data-height="".0594"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".2569"" data-top="".1102"" data-width="".1752"" data-height="".0594"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".1464"" data-top="".2352"" data-width="".1941"" data-height="".0594"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""5"" data-shape=""rect"" data-left="".1512"" data-top="".3758"" data-width="".1357"" data-height="".0531"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".1527"" data-top="".5164"" data-width="".1042"" data-height="".0562"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""7"" data-shape=""rect"" data-left="".0437"" data-top="".6009"" data-width="".2415"" data-height="".0934"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""8"" data-shape=""rect"" data-left="".1259"" data-top="".7539"" data-width="".1563"" data-height="".0656"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""9"" data-shape=""rect"" data-left="".0186"" data-top="".863"" data-width="".3171"" data-height="".0844"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""0"" data-shape=""text"" data-left="".0352"" data-top="".0000"" data-text=""Der&#x20;vegetative&#x20;bakterielle&#x20;Zellzyklus"" data-scale="".3865"" data-font-size="".1153"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""vegcellcycle.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"
<div style=""display: none""><div class=""cloze"" data-ordinal=""1"" data-shape=""rect"" data-left="".7052"" data-top="".3102"" data-width="".2873"" data-height="".0688"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".5347"" data-top="".0445"" data-width="".1578"" data-height="".0594"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".2569"" data-top="".1102"" data-width="".1752"" data-height="".0594"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".1464"" data-top="".2352"" data-width="".1941"" data-height="".0594"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".1512"" data-top="".3758"" data-width="".1357"" data-height="".0531"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".1527"" data-top="".5164"" data-width="".1042"" data-height="".0562"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""7"" data-shape=""rect"" data-left="".0437"" data-top="".6009"" data-width="".2415"" data-height="".0934"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""8"" data-shape=""rect"" data-left="".1259"" data-top="".7539"" data-width="".1563"" data-height="".0656"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""9"" data-shape=""rect"" data-left="".0186"" data-top="".863"" data-width="".3171"" data-height="".0844"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""0"" data-shape=""text"" data-left="".0352"" data-top="".0000"" data-text=""Der&#x20;vegetative&#x20;bakterielle&#x20;Zellzyklus"" data-scale="".3865"" data-font-size="".1153"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""vegcellcycle.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-highlight"" data-ordinal=""1"" data-shape=""rect"" data-left="".7052"" data-top="".3102"" data-width="".2873"" data-height="".0688"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".5347"" data-top="".0445"" data-width="".1578"" data-height="".0594"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".2569"" data-top="".1102"" data-width="".1752"" data-height="".0594"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".1464"" data-top="".2352"" data-width="".1941"" data-height="".0594"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".1512"" data-top="".3758"" data-width="".1357"" data-height="".0531"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".1527"" data-top="".5164"" data-width="".1042"" data-height="".0562"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""7"" data-shape=""rect"" data-left="".0437"" data-top="".6009"" data-width="".2415"" data-height="".0934"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""8"" data-shape=""rect"" data-left="".1259"" data-top="".7539"" data-width="".1563"" data-height="".0656"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""9"" data-shape=""rect"" data-left="".0186"" data-top="".863"" data-width="".3171"" data-height="".0844"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""0"" data-shape=""text"" data-left="".0352"" data-top="".0000"" data-text=""Der&#x20;vegetative&#x20;bakterielle&#x20;Zellzyklus"" data-scale="".3865"" data-font-size="".1153"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""vegcellcycle.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
